,,,-1.2240E-3,-839.999974E-3,,,,,-1.2240E-3,-819.999993E-3,,,,,-1.2240E-3,839.999974E-3,,,,,-1.2240E-3,11.4800,
,,,-1.2230E-3,-819.999993E-3,,,,,-1.2230E-3,-819.999993E-3,,,,,-1.2230E-3,839.999974E-3,,,,,-1.2230E-3,11.4800,
,,,-1.2220E-3,-839.999974E-3,,,,,-1.2220E-3,-819.999993E-3,,,,,-1.2220E-3,839.999974E-3,,,,,-1.2220E-3,11.5200,
,,,-1.2210E-3,-819.999993E-3,,,,,-1.2210E-3,-819.999993E-3,,,,,-1.2210E-3,819.999993E-3,,,,,-1.2210E-3,11.5200,
,,,-1.2200E-3,-819.999993E-3,,,,,-1.2200E-3,-839.999974E-3,,,,,-1.2200E-3,839.999974E-3,,,,,-1.2200E-3,11.5200,
,,,-1.2190E-3,-819.999993E-3,,,,,-1.2190E-3,-819.999993E-3,,,,,-1.2190E-3,839.999974E-3,,,,,-1.2190E-3,11.5600,
,,,-1.2180E-3,-799.999952E-3,,,,,-1.2180E-3,-819.999993E-3,,,,,-1.2180E-3,839.999974E-3,,,,,-1.2180E-3,11.5600,
,,,-1.2170E-3,-799.999952E-3,,,,,-1.2170E-3,-799.999952E-3,,,,,-1.2170E-3,819.999993E-3,,,,,-1.2170E-3,11.5600,
,,,-1.2160E-3,-819.999993E-3,,,,,-1.2160E-3,-799.999952E-3,,,,,-1.2160E-3,819.999993E-3,,,,,-1.2160E-3,11.5600,
,,,-1.2150E-3,-799.999952E-3,,,,,-1.2150E-3,-799.999952E-3,,,,,-1.2150E-3,819.999993E-3,,,,,-1.2150E-3,11.5600,
,,,-1.2140E-3,-799.999952E-3,,,,,-1.2140E-3,-799.999952E-3,,,,,-1.2140E-3,819.999993E-3,,,,,-1.2140E-3,11.5600,
,,,-1.2130E-3,-799.999952E-3,,,,,-1.2130E-3,-799.999952E-3,,,,,-1.2130E-3,799.999952E-3,,,,,-1.2130E-3,11.5600,
,,,-1.2120E-3,-779.999971E-3,,,,,-1.2120E-3,-779.999971E-3,,,,,-1.2120E-3,799.999952E-3,,,,,-1.2120E-3,11.6000,
,,,-1.2110E-3,-779.999971E-3,,,,,-1.2110E-3,-799.999952E-3,,,,,-1.2110E-3,799.999952E-3,,,,,-1.2110E-3,11.6000,
,,,-1.2100E-3,-779.999971E-3,,,,,-1.2100E-3,-779.999971E-3,,,,,-1.2100E-3,799.999952E-3,,,,,-1.2100E-3,11.6000,
,,,-1.2090E-3,-759.999990E-3,,,,,-1.2090E-3,-799.999952E-3,,,,,-1.2090E-3,799.999952E-3,,,,,-1.2090E-3,11.6000,
,,,-1.2080E-3,-759.999990E-3,,,,,-1.2080E-3,-779.999971E-3,,,,,-1.2080E-3,779.999971E-3,,,,,-1.2080E-3,11.6400,
,,,-1.2070E-3,-759.999990E-3,,,,,-1.2070E-3,-759.999990E-3,,,,,-1.2070E-3,799.999952E-3,,,,,-1.2070E-3,11.6000,
,,,-1.2060E-3,-779.999971E-3,,,,,-1.2060E-3,-759.999990E-3,,,,,-1.2060E-3,779.999971E-3,,,,,-1.2060E-3,11.6400,
,,,-1.2050E-3,-759.999990E-3,,,,,-1.2050E-3,-759.999990E-3,,,,,-1.2050E-3,779.999971E-3,,,,,-1.2050E-3,11.6400,
,,,-1.2040E-3,-759.999990E-3,,,,,-1.2040E-3,-759.999990E-3,,,,,-1.2040E-3,759.999990E-3,,,,,-1.2040E-3,11.6800,
,,,-1.2030E-3,-759.999990E-3,,,,,-1.2030E-3,-759.999990E-3,,,,,-1.2030E-3,759.999990E-3,,,,,-1.2030E-3,11.6400,
,,,-1.2020E-3,-740.000010E-3,,,,,-1.2020E-3,-719.999969E-3,,,,,-1.2020E-3,759.999990E-3,,,,,-1.2020E-3,11.6800,
,,,-1.2010E-3,-759.999990E-3,,,,,-1.2010E-3,-740.000010E-3,,,,,-1.2010E-3,759.999990E-3,,,,,-1.2010E-3,11.6800,
,,,-1.2000E-3,-740.000010E-3,,,,,-1.2000E-3,-740.000010E-3,,,,,-1.2000E-3,759.999990E-3,,,,,-1.2000E-3,11.6800,
,,,-1.1990E-3,-740.000010E-3,,,,,-1.1990E-3,-740.000010E-3,,,,,-1.1990E-3,759.999990E-3,,,,,-1.1990E-3,11.7200,
