Record Length,2500,Points,-1.2500E-3,-552.000046E-3,,Record Length,2500,Points,-1.2500E-3,-552.000046E-3,,Record Length,2500,Points,-1.2500E-3,552.000046E-3,,Record Length,2500,Points,-1.2500E-3,1.3600,
Sample Interval,1.000E-6,s,-1.2490E-3,-544.000030E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,-552.000046E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,552.000046E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,1.3600,
Trigger Point,1.2500E3,Samples,-1.2480E-3,-544.000030E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,-544.000030E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,552.000046E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,1.3600,
,,,-1.2470E-3,-536.000013E-3,,,,,-1.2470E-3,-544.000030E-3,,,,,-1.2470E-3,544.000030E-3,,,,,-1.2470E-3,1.3520,
,,,-1.2460E-3,-536.000013E-3,,,,,-1.2460E-3,-544.000030E-3,,,,,-1.2460E-3,544.000030E-3,,,,,-1.2460E-3,1.3520,
,,,-1.2450E-3,-536.000013E-3,,,,,-1.2450E-3,-544.000030E-3,,,,,-1.2450E-3,544.000030E-3,,,,,-1.2450E-3,1.3520,
Source,CH1,,-1.2440E-3,-536.000013E-3,,Source,CH2,,-1.2440E-3,-536.000013E-3,,Source,CH3,,-1.2440E-3,536.000013E-3,,Source,CH4,,-1.2440E-3,1.3520,
Vertical Units,Volts,,-1.2430E-3,-536.000013E-3,,Vertical Units,Volts,,-1.2430E-3,-527.999997E-3,,Vertical Units,Volts,,-1.2430E-3,536.000013E-3,,Vertical Units,Volts,,-1.2430E-3,1.3440,
Vertical Scale,200.00001E-3,,-1.2420E-3,-527.999997E-3,,Vertical Scale,200.00001E-3,,-1.2420E-3,-536.000013E-3,,Vertical Scale,200.00001E-3,,-1.2420E-3,536.000013E-3,,Vertical Scale,200.00001E-3,,-1.2420E-3,1.3440,
Vertical Offset,0,,-1.2410E-3,-527.999997E-3,,Vertical Offset,0,,-1.2410E-3,-527.999997E-3,,Vertical Offset,0,,-1.2410E-3,536.000013E-3,,Vertical Offset,0,,-1.2410E-3,1.3360,
Horizontal Units,s,,-1.2400E-3,-527.999997E-3,,Horizontal Units,s,,-1.2400E-3,-520.000041E-3,,Horizontal Units,s,,-1.2400E-3,536.000013E-3,,Horizontal Units,s,,-1.2400E-3,1.3440,
Horizontal Scale,250.00000E-6,,-1.2390E-3,-520.000041E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,-520.000041E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,527.999997E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,1.3440,
Pt Fmt,Y,,-1.2380E-3,-520.000041E-3,,Pt Fmt,Y,,-1.2380E-3,-527.999997E-3,,Pt Fmt,Y,,-1.2380E-3,527.999997E-3,,Pt Fmt,Y,,-1.2380E-3,1.3360,
Yzero,0.0,,-1.2370E-3,-520.000041E-3,,Yzero,0.0,,-1.2370E-3,-520.000041E-3,,Yzero,0.0,,-1.2370E-3,527.999997E-3,,Yzero,-3.68000,,-1.2370E-3,1.3360,
Probe Atten,1.000,,-1.2360E-3,-512.000024E-3,,Probe Atten,1.000,,-1.2360E-3,-520.000041E-3,,Probe Atten,1.000,,-1.2360E-3,520.000041E-3,,Probe Atten,1.000,,-1.2360E-3,1.3360,
,,,-1.2350E-3,-512.000024E-3,,,,,-1.2350E-3,-520.000041E-3,,,,,-1.2350E-3,520.000041E-3,,,,,-1.2350E-3,1.3280,
Note,TDS 224 - 6:48:50 PM   11/13/2015,,-1.2340E-3,-512.000024E-3,,Note,TDS 224 - 6:48:50 PM   11/13/2015,,-1.2340E-3,-512.000024E-3,,Note,TDS 224 - 6:48:50 PM   11/13/2015,,-1.2340E-3,520.000041E-3,,Note,TDS 224 - 6:48:50 PM   11/13/2015,,-1.2340E-3,1.3280,
,,,-1.2330E-3,-504.000008E-3,,,,,-1.2330E-3,-512.000024E-3,,,,,-1.2330E-3,512.000024E-3,,,,,-1.2330E-3,1.3280,
,,,-1.2320E-3,-504.000008E-3,,,,,-1.2320E-3,-512.000024E-3,,,,,-1.2320E-3,512.000024E-3,,,,,-1.2320E-3,1.3280,
,,,-1.2310E-3,-504.000008E-3,,,,,-1.2310E-3,-504.000008E-3,,,,,-1.2310E-3,512.000024E-3,,,,,-1.2310E-3,1.3280,
,,,-1.2300E-3,-496.000022E-3,,,,,-1.2300E-3,-504.000008E-3,,,,,-1.2300E-3,512.000024E-3,,,,,-1.2300E-3,1.3280,
,,,-1.2290E-3,-496.000022E-3,,,,,-1.2290E-3,-504.000008E-3,,,,,-1.2290E-3,504.000008E-3,,,,,-1.2290E-3,1.3200,
,,,-1.2280E-3,-496.000022E-3,,,,,-1.2280E-3,-504.000008E-3,,,,,-1.2280E-3,504.000008E-3,,,,,-1.2280E-3,1.3200,
,,,-1.2270E-3,-488.000035E-3,,,,,-1.2270E-3,-496.000022E-3,,,,,-1.2270E-3,504.000008E-3,,,,,-1.2270E-3,1.3200,
,,,-1.2260E-3,-488.000035E-3,,,,,-1.2260E-3,-488.000035E-3,,,,,-1.2260E-3,504.000008E-3,,,,,-1.2260E-3,1.3200,
