Record Length,2500,Points,-1.2500E-3,-86.000003E-3,,Record Length,2500,Points,-1.2500E-3,-84.000006E-3,,Record Length,2500,Points,-1.2500E-3,94.000004E-3,,Record Length,2500,Points,-1.2500E-3,11.4400,
Sample Interval,1.000E-6,s,-1.2490E-3,-86.000003E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,-88.000007E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,88.000007E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,11.4000,
Trigger Point,1.2500E3,Samples,-1.2480E-3,-86.000003E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,-84.000006E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,90.000004E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,11.4000,
,,,-1.2470E-3,-82.000002E-3,,,,,-1.2470E-3,-84.000006E-3,,,,,-1.2470E-3,92.000008E-3,,,,,-1.2470E-3,11.4000,
,,,-1.2460E-3,-82.000002E-3,,,,,-1.2460E-3,-84.000006E-3,,,,,-1.2460E-3,94.000004E-3,,,,,-1.2460E-3,11.4000,
,,,-1.2450E-3,-82.000002E-3,,,,,-1.2450E-3,-82.000002E-3,,,,,-1.2450E-3,94.000004E-3,,,,,-1.2450E-3,11.4400,
Source,CH1,,-1.2440E-3,-78.000002E-3,,Source,CH2,,-1.2440E-3,-76.000005E-3,,Source,CH3,,-1.2440E-3,92.000008E-3,,Source,CH4,,-1.2440E-3,11.4400,
Vertical Units,Volts,,-1.2430E-3,-82.000002E-3,,Vertical Units,Volts,,-1.2430E-3,-80.000006E-3,,Vertical Units,Volts,,-1.2430E-3,90.000004E-3,,Vertical Units,Volts,,-1.2430E-3,11.4400,
Vertical Scale,50.00000E-3,,-1.2420E-3,-82.000002E-3,,Vertical Scale,50.00000E-3,,-1.2420E-3,-80.000006E-3,,Vertical Scale,50.00000E-3,,-1.2420E-3,86.000003E-3,,Vertical Scale,1.000,,-1.2420E-3,11.4800,
Vertical Offset,0,,-1.2410E-3,-82.000002E-3,,Vertical Offset,0,,-1.2410E-3,-84.000006E-3,,Vertical Offset,0,,-1.2410E-3,86.000003E-3,,Vertical Offset,0,,-1.2410E-3,11.4800,
Horizontal Units,s,,-1.2400E-3,-82.000002E-3,,Horizontal Units,s,,-1.2400E-3,-84.000006E-3,,Horizontal Units,s,,-1.2400E-3,86.000003E-3,,Horizontal Units,s,,-1.2400E-3,11.4800,
Horizontal Scale,250.00000E-6,,-1.2390E-3,-80.000006E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,-82.000002E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,86.000003E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,11.5200,
Pt Fmt,Y,,-1.2380E-3,-80.000006E-3,,Pt Fmt,Y,,-1.2380E-3,-80.000006E-3,,Pt Fmt,Y,,-1.2380E-3,86.000003E-3,,Pt Fmt,Y,,-1.2380E-3,11.4800,
Yzero,0.0,,-1.2370E-3,-80.000006E-3,,Yzero,0.0,,-1.2370E-3,-80.000006E-3,,Yzero,0.0,,-1.2370E-3,86.000003E-3,,Yzero,-13.8000,,-1.2370E-3,11.5200,
Probe Atten,1.000,,-1.2360E-3,-80.000006E-3,,Probe Atten,1.000,,-1.2360E-3,-80.000006E-3,,Probe Atten,1.000,,-1.2360E-3,86.000003E-3,,Probe Atten,1.000,,-1.2360E-3,11.5200,
,,,-1.2350E-3,-80.000006E-3,,,,,-1.2350E-3,-80.000006E-3,,,,,-1.2350E-3,84.000006E-3,,,,,-1.2350E-3,11.5200,
Note,TDS 224 - 4:07:57 PM   11/13/2015,,-1.2340E-3,-80.000006E-3,,Note,TDS 224 - 4:07:57 PM   11/13/2015,,-1.2340E-3,-78.000002E-3,,Note,TDS 224 - 4:07:57 PM   11/13/2015,,-1.2340E-3,86.000003E-3,,Note,TDS 224 - 4:07:57 PM   11/13/2015,,-1.2340E-3,11.5200,
,,,-1.2330E-3,-78.000002E-3,,,,,-1.2330E-3,-78.000002E-3,,,,,-1.2330E-3,86.000003E-3,,,,,-1.2330E-3,11.5200,
,,,-1.2320E-3,-78.000002E-3,,,,,-1.2320E-3,-78.000002E-3,,,,,-1.2320E-3,86.000003E-3,,,,,-1.2320E-3,11.5200,
