,,,-11.8300E-3,-1.6800,,,,,-11.8300E-3,1.8600,
,,,-11.8200E-3,-1.6800,,,,,-11.8200E-3,1.8400,
,,,-11.8100E-3,-1.6400,,,,,-11.8100E-3,1.8200,
,,,-11.8000E-3,-1.6800,,,,,-11.8000E-3,1.8200,
,,,-11.7900E-3,-1.6800,,,,,-11.7900E-3,1.8000,
,,,-11.7800E-3,-1.6800,,,,,-11.7800E-3,1.8000,
,,,-11.7700E-3,-1.6000,,,,,-11.7700E-3,1.7800,
,,,-11.7600E-3,-1.6000,,,,,-11.7600E-3,1.7800,
,,,-11.7500E-3,-1.6000,,,,,-11.7500E-3,1.7600,
,,,-11.7400E-3,-1.6000,,,,,-11.7400E-3,1.7400,
,,,-11.7300E-3,-1.5600,,,,,-11.7300E-3,1.7400,
,,,-11.7200E-3,-1.5600,,,,,-11.7200E-3,1.7400,
,,,-11.7100E-3,-1.5600,,,,,-11.7100E-3,1.7000,
,,,-11.7000E-3,-1.5600,,,,,-11.7000E-3,1.7000,
,,,-11.6900E-3,-1.5200,,,,,-11.6900E-3,1.7000,
,,,-11.6800E-3,-1.5200,,,,,-11.6800E-3,1.6600,
,,,-11.6700E-3,-1.5200,,,,,-11.6700E-3,1.6800,
,,,-11.6600E-3,-1.5200,,,,,-11.6600E-3,1.6400,
,,,-11.6500E-3,-1.5200,,,,,-11.6500E-3,1.6400,
,,,-11.6400E-3,-1.4800,,,,,-11.6400E-3,1.6400,
,,,-11.6300E-3,-1.4800,,,,,-11.6300E-3,1.6400,
,,,-11.6200E-3,-1.4800,,,,,-11.6200E-3,1.6200,
,,,-11.6100E-3,-1.4800,,,,,-11.6100E-3,1.6000,
,,,-11.6000E-3,-1.4800,,,,,-11.6000E-3,1.6000,
,,,-11.5900E-3,-1.4400,,,,,-11.5900E-3,1.6000,
,,,-11.5800E-3,-1.4400,,,,,-11.5800E-3,1.5800,
,,,-11.5700E-3,-1.4400,,,,,-11.5700E-3,1.5600,
,,,-11.5600E-3,-1.4000,,,,,-11.5600E-3,1.5600,
,,,-11.5500E-3,-1.4000,,,,,-11.5500E-3,1.5400,
,,,-11.5400E-3,-1.3600,,,,,-11.5400E-3,1.5400,
,,,-11.5300E-3,-1.4000,,,,,-11.5300E-3,1.5200,
,,,-11.5200E-3,-1.4000,,,,,-11.5200E-3,1.5000,
,,,-11.5100E-3,-1.3600,,,,,-11.5100E-3,1.5000,
,,,-11.5000E-3,-1.3600,,,,,-11.5000E-3,1.4800,
,,,-11.4900E-3,-1.3600,,,,,-11.4900E-3,1.4800,
,,,-11.4800E-3,-1.3600,,,,,-11.4800E-3,1.5000,
,,,-11.4700E-3,-1.3200,,,,,-11.4700E-3,1.4800,
,,,-11.4600E-3,-1.3200,,,,,-11.4600E-3,1.4600,
,,,-11.4500E-3,-1.3200,,,,,-11.4500E-3,1.4400,
,,,-11.4400E-3,-1.2800,,,,,-11.4400E-3,1.4400,
,,,-11.4300E-3,-1.3200,,,,,-11.4300E-3,1.4000,
,,,-11.4200E-3,-1.2800,,,,,-11.4200E-3,1.4000,
,,,-11.4100E-3,-1.2400,,,,,-11.4100E-3,1.4000,
,,,-11.4000E-3,-1.2400,,,,,-11.4000E-3,1.3800,
,,,-11.3900E-3,-1.2400,,,,,-11.3900E-3,1.3800,
,,,-11.3800E-3,-1.2400,,,,,-11.3800E-3,1.3600,
,,,-11.3700E-3,-1.2000,,,,,-11.3700E-3,1.3600,
,,,-11.3600E-3,-1.2000,,,,,-11.3600E-3,1.3600,
,,,-11.3500E-3,-1.1600,,,,,-11.3500E-3,1.3400,
,,,-11.3400E-3,-1.2000,,,,,-11.3400E-3,1.3200,
,,,-11.3300E-3,-1.2000,,,,,-11.3300E-3,1.3200,
,,,-11.3200E-3,-1.1600,,,,,-11.3200E-3,1.3200,
,,,-11.3100E-3,-1.1600,,,,,-11.3100E-3,1.3200,
,,,-11.3000E-3,-1.1600,,,,,-11.3000E-3,1.2800,
,,,-11.2900E-3,-1.1200,,,,,-11.2900E-3,1.2800,
,,,-11.2800E-3,-1.1200,,,,,-11.2800E-3,1.2800,
,,,-11.2700E-3,-1.1200,,,,,-11.2700E-3,1.2800,
,,,-11.2600E-3,-1.1200,,,,,-11.2600E-3,1.2600,
,,,-11.2500E-3,-1.0800,,,,,-11.2500E-3,1.2600,
,,,-11.2400E-3,-1.0800,,,,,-11.2400E-3,1.2400,
,,,-11.2300E-3,-1.0800,,,,,-11.2300E-3,1.2400,
,,,-11.2200E-3,-1.0400,,,,,-11.2200E-3,1.2200,
,,,-11.2100E-3,-1.0400,,,,,-11.2100E-3,1.2400,
,,,-11.2000E-3,-1.0400,,,,,-11.2000E-3,1.2200,
,,,-11.1900E-3,-1.0400,,,,,-11.1900E-3,1.2000,
,,,-11.1800E-3,-1.000,,,,,-11.1800E-3,1.1800,
,,,-11.1700E-3,-1.000,,,,,-11.1700E-3,1.1800,
,,,-11.1600E-3,-1.000,,,,,-11.1600E-3,1.1800,
,,,-11.1500E-3,-1.000,,,,,-11.1500E-3,1.1600,
,,,-11.1400E-3,-1.000,,,,,-11.1400E-3,1.1400,
,,,-11.1300E-3,-959.999979E-3,,,,,-11.1300E-3,1.1600,
,,,-11.1200E-3,-959.999979E-3,,,,,-11.1200E-3,1.1600,
,,,-11.1100E-3,-959.999979E-3,,,,,-11.1100E-3,1.1200,
,,,-11.1000E-3,-959.999979E-3,,,,,-11.1000E-3,1.1200,
,,,-11.0900E-3,-959.999979E-3,,,,,-11.0900E-3,1.1200,
,,,-11.0800E-3,-919.999957E-3,,,,,-11.0800E-3,1.1000,
,,,-11.0700E-3,-919.999957E-3,,,,,-11.0700E-3,1.1000,
,,,-11.0600E-3,-879.999995E-3,,,,,-11.0600E-3,1.1000,
,,,-11.0500E-3,-879.999995E-3,,,,,-11.0500E-3,1.0800,
,,,-11.0400E-3,-839.999974E-3,,,,,-11.0400E-3,1.0800,
,,,-11.0300E-3,-879.999995E-3,,,,,-11.0300E-3,1.0600,
,,,-11.0200E-3,-879.999995E-3,,,,,-11.0200E-3,1.0800,
,,,-11.0100E-3,-839.999974E-3,,,,,-11.0100E-3,1.0600,
,,,-11.0000E-3,-839.999974E-3,,,,,-11.0000E-3,1.0600,
,,,-10.9900E-3,-799.999952E-3,,,,,-10.9900E-3,1.0400,
,,,-10.9800E-3,-799.999952E-3,,,,,-10.9800E-3,1.0600,
