Record Length,2500,Points,-1.2500E-3,-48.00000E-3,,Record Length,2500,Points,-1.2500E-3,-48.00000E-3,,Record Length,2500,Points,-1.2500E-3,48.00000E-3,,Record Length,2500,Points,-1.2500E-3,1.1600,
Sample Interval,1.000E-6,s,-1.2490E-3,-40.00000E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,-48.00000E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,56.000002E-3,,Sample Interval,1.000E-6,s,-1.2490E-3,1.1600,
Trigger Point,1.2500E3,Samples,-1.2480E-3,-40.00000E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,-48.00000E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,48.00000E-3,,Trigger Point,1.2500E3,Samples,-1.2480E-3,1.1520,
,,,-1.2470E-3,-40.00000E-3,,,,,-1.2470E-3,-48.00000E-3,,,,,-1.2470E-3,48.00000E-3,,,,,-1.2470E-3,1.1520,
,,,-1.2460E-3,-40.00000E-3,,,,,-1.2460E-3,-48.00000E-3,,,,,-1.2460E-3,56.000002E-3,,,,,-1.2460E-3,1.1520,
,,,-1.2450E-3,-48.00000E-3,,,,,-1.2450E-3,-48.00000E-3,,,,,-1.2450E-3,48.00000E-3,,,,,-1.2450E-3,1.1520,
Source,CH1,,-1.2440E-3,-48.00000E-3,,Source,CH2,,-1.2440E-3,-48.00000E-3,,Source,CH3,,-1.2440E-3,48.00000E-3,,Source,CH4,,-1.2440E-3,1.1520,
Vertical Units,Volts,,-1.2430E-3,-40.00000E-3,,Vertical Units,Volts,,-1.2430E-3,-48.00000E-3,,Vertical Units,Volts,,-1.2430E-3,56.000002E-3,,Vertical Units,Volts,,-1.2430E-3,1.1520,
Vertical Scale,200.00001E-3,,-1.2420E-3,-40.00000E-3,,Vertical Scale,200.00001E-3,,-1.2420E-3,-40.00000E-3,,Vertical Scale,200.00001E-3,,-1.2420E-3,48.00000E-3,,Vertical Scale,200.00001E-3,,-1.2420E-3,1.1520,
Vertical Offset,0,,-1.2410E-3,-48.00000E-3,,Vertical Offset,0,,-1.2410E-3,-40.00000E-3,,Vertical Offset,0,,-1.2410E-3,48.00000E-3,,Vertical Offset,0,,-1.2410E-3,1.1520,
Horizontal Units,s,,-1.2400E-3,-40.00000E-3,,Horizontal Units,s,,-1.2400E-3,-40.00000E-3,,Horizontal Units,s,,-1.2400E-3,48.00000E-3,,Horizontal Units,s,,-1.2400E-3,1.1520,
Horizontal Scale,250.00000E-6,,-1.2390E-3,-40.00000E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,-40.00000E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,48.00000E-3,,Horizontal Scale,250.00000E-6,,-1.2390E-3,1.1520,
Pt Fmt,Y,,-1.2380E-3,-40.00000E-3,,Pt Fmt,Y,,-1.2380E-3,-40.00000E-3,,Pt Fmt,Y,,-1.2380E-3,48.00000E-3,,Pt Fmt,Y,,-1.2380E-3,1.1520,
Yzero,0.0,,-1.2370E-3,-40.00000E-3,,Yzero,0.0,,-1.2370E-3,-40.00000E-3,,Yzero,0.0,,-1.2370E-3,48.00000E-3,,Yzero,-3.68000,,-1.2370E-3,1.1520,
Probe Atten,1.000,,-1.2360E-3,-40.00000E-3,,Probe Atten,1.000,,-1.2360E-3,-40.00000E-3,,Probe Atten,1.000,,-1.2360E-3,48.00000E-3,,Probe Atten,1.000,,-1.2360E-3,1.1520,
,,,-1.2350E-3,-40.00000E-3,,,,,-1.2350E-3,-32.00000E-3,,,,,-1.2350E-3,48.00000E-3,,,,,-1.2350E-3,1.1520,
Note,TDS 224 - 6:43:46 PM   11/13/2015,,-1.2340E-3,-32.00000E-3,,Note,TDS 224 - 6:43:46 PM   11/13/2015,,-1.2340E-3,-40.00000E-3,,Note,TDS 224 - 6:43:46 PM   11/13/2015,,-1.2340E-3,48.00000E-3,,Note,TDS 224 - 6:43:46 PM   11/13/2015,,-1.2340E-3,1.1520,
,,,-1.2330E-3,-40.00000E-3,,,,,-1.2330E-3,-40.00000E-3,,,,,-1.2330E-3,48.00000E-3,,,,,-1.2330E-3,1.1520,
