"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,2.684,4.066,2.611,2.654,0.000000,-0.056,3.060,-0.628,2.659,0.000000,5.341,1.521,8.027,2.654,0.000000,4.818,0.755,7.739,2.659,0.000000,1.565,-2.127,1.712,2.654,0.000000,2.132,5.316,1.585,2.650,0.000000,-0.569,-3.226,-1.648,2.650,0.000000,3.099,9.580,-2.620,2.659,0.000000,-0.125,0.647,-3.602,2.659,0.000000,0.847,3.988,-1.770,2.650,0.000000,-0.877,2.063,-0.007,2.650,0.000000,1.658,2.615,2.767,2.659
0.003300,2.723,3.543,3.074,2.659,0.003300,0.051,3.060,-0.750,2.654,0.003300,5.194,0.852,8.291,2.654,0.003300,4.662,0.085,7.783,2.659,0.003300,1.429,-2.303,1.365,2.650,0.003300,2.239,5.018,2.083,2.650,0.003300,-0.672,-3.289,-1.663,2.650,0.003300,3.338,10.000,-2.112,2.650,0.003300,-0.105,0.628,-3.778,2.659,0.003300,0.965,4.090,-1.663,2.650,0.003300,-0.769,2.063,-0.266,2.645,0.003300,1.683,2.283,2.899,2.654
0.006600,2.747,2.952,3.485,2.654,0.006600,0.159,3.070,-0.852,2.659,0.006600,5.028,0.188,8.374,2.659,0.006600,4.486,-0.579,7.656,2.654,0.006600,1.287,-2.430,1.028,2.650,0.006600,2.332,4.637,2.576,2.650,0.006600,-0.769,-3.353,-1.658,2.654,0.006600,3.582,10.000,-1.609,2.654,0.006600,-0.081,0.608,-3.949,2.654,0.006600,1.077,4.193,-1.512,2.650,0.006600,-0.667,2.054,-0.515,2.650,0.006600,1.697,1.937,3.001,2.654
0.009900,2.742,2.317,3.802,2.654,0.009900,0.266,3.089,-0.935,2.654,0.009900,4.838,-0.476,8.281,2.659,0.009900,4.291,-1.243,7.372,2.659,0.009900,1.155,-2.513,0.701,2.650,0.009900,2.405,4.178,3.040,2.650,0.009900,-0.857,-3.436,-1.629,2.654,0.009900,3.832,10.000,-1.106,2.650,0.009900,-0.051,0.593,-4.120,2.654,0.009900,1.189,4.300,-1.341,2.645,0.009900,-0.569,2.034,-0.750,2.650,0.009900,1.702,1.580,3.060,2.654
0.013200,2.713,1.653,4.012,2.654,0.013200,0.369,3.109,-0.994,2.650,0.013200,4.637,-1.140,8.022,2.654,0.013200,4.076,-1.907,6.933,2.654,0.013200,1.023,-2.567,0.393,2.654,0.013200,2.459,3.646,3.470,2.654,0.013200,-0.955,-3.519,-1.575,2.650,0.013200,4.081,10.000,-0.598,2.654,0.013200,-0.027,0.589,-4.291,2.654,0.013200,1.306,4.393,-1.126,2.654,0.013200,-0.476,2.015,-0.969,2.650,0.013200,1.687,1.219,3.084,2.654
0.016500,2.664,0.984,4.115,2.654,0.016500,0.466,3.143,-1.028,2.654,0.016500,4.418,-1.800,7.602,2.659,0.016500,3.851,-2.567,6.371,2.659,0.016500,0.891,-2.591,0.100,2.659,0.016500,2.498,3.070,3.846,2.650,0.016500,-1.043,-3.617,-1.497,2.650,0.016500,4.320,10.000,-0.090,2.654,0.016500,-0.007,0.589,-4.462,2.650,0.016500,1.419,4.471,-0.886,2.650,0.016500,-0.388,1.985,-1.179,2.650,0.016500,1.663,0.867,3.060,2.654
0.019800,2.591,0.325,4.105,2.654,0.019800,0.564,3.177,-1.048,2.654,0.019800,4.183,-2.459,7.035,2.659,0.019800,3.612,-3.226,5.697,2.654,0.019800,0.759,-2.591,-0.168,2.654,0.019800,2.503,2.444,4.144,2.654,0.019800,-1.136,-3.709,-1.399,2.654,0.019800,4.545,10.000,0.408,2.654,0.019800,0.017,0.589,-4.628,2.654,0.019800,1.526,4.540,-0.613,2.654,0.019800,-0.300,1.966,-1.375,2.650,0.019800,1.629,0.520,2.991,2.659
0.023100,2.493,-0.310,3.983,2.654,0.023100,0.667,3.221,-1.043,2.659,0.023100,3.934,-3.123,6.357,2.654,0.023100,3.353,-3.890,4.945,2.659,0.023100,0.642,-2.576,-0.418,2.654,0.023100,2.488,1.795,4.349,2.650,0.023100,-1.233,-3.802,-1.272,2.654,0.023100,4.764,10.000,0.911,2.654,0.023100,0.032,0.598,-4.789,2.650,0.023100,1.634,4.574,-0.310,2.650,0.023100,-0.217,1.946,-1.560,2.650,0.023100,1.585,0.193,2.889,2.654
0.026400,2.386,-0.906,3.758,2.654,0.026400,0.750,3.265,-1.013,2.659,0.026400,3.665,-3.783,5.590,2.659,0.026400,3.079,-4.545,4.168,2.654,0.026400,0.525,-2.557,-0.657,2.654,0.026400,2.454,1.136,4.452,2.654,0.026400,-1.326,-3.900,-1.121,2.654,0.026400,4.955,9.990,1.419,2.650,0.026400,0.056,0.608,-4.960,2.650,0.026400,1.746,4.574,0.022,2.654,0.026400,-0.139,1.932,-1.731,2.654,0.026400,1.526,-0.110,2.747,2.654
0.029700,2.254,-1.438,3.451,2.654,0.029700,0.847,3.324,-0.969,2.650,0.029700,3.387,-4.442,4.799,2.654,0.029700,2.791,-5.194,3.382,2.654,0.029700,0.418,-2.532,-0.877,2.654,0.029700,2.391,0.491,4.452,2.659,0.029700,-1.424,-3.973,-0.940,2.650,0.029700,5.131,9.433,1.917,2.650,0.029700,0.076,0.628,-5.121,2.650,0.029700,1.839,4.520,0.369,2.654,0.029700,-0.061,1.922,-1.902,2.654,0.029700,1.458,-0.388,2.571,2.654
0.033000,2.112,-1.912,3.094,2.659,0.033000,0.935,3.377,-0.901,2.654,0.033000,3.094,-5.096,4.017,2.659,0.033000,2.493,-5.712,2.620,2.659,0.033000,0.310,-2.503,-1.077,2.659,0.033000,2.308,-0.139,4.349,2.659,0.033000,-1.512,-4.046,-0.735,2.654,0.033000,5.267,8.759,2.420,2.650,0.033000,0.095,0.647,-5.282,2.650,0.033000,1.937,4.427,0.745,2.654,0.033000,0.002,1.922,-2.049,2.650,0.033000,1.389,-0.642,2.371,2.659
0.036300,1.961,-2.313,2.703,2.654,0.036300,1.028,3.426,-0.808,2.650,0.036300,2.786,-5.741,3.231,2.650,0.036300,2.190,-6.073,1.917,2.650,0.036300,0.208,-2.479,-1.263,2.654,0.036300,2.210,-0.730,4.149,2.654,0.036300,-1.604,-4.095,-0.510,2.650,0.036300,5.380,8.090,2.918,2.654,0.036300,0.120,0.676,-5.443,2.650,0.036300,2.029,4.266,1.121,2.654,0.036300,0.076,1.932,-2.195,2.650,0.036300,1.311,-0.872,2.151,2.654
