"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,0.175,0.323,-0.674,-0.713,0.000000,0.283,-0.185,0.616,-0.713,0.000000,0.546,0.733,0.000,-0.713,0.000000,0.414,0.025,0.630,-0.713,0.000000,0.038,0.122,-0.298,-0.708,0.000000,0.541,0.674,0.103,-0.713,0.000000,0.434,0.679,-0.346,-0.713,0.000000,-0.079,-0.117,0.181,-0.713,0.000000,0.053,0.137,-0.444,-0.713,0.000000,0.253,-0.244,0.630,-0.713,0.000000,0.517,0.811,-0.302,-0.708,0.000000,0.248,0.440,-0.610,-0.708
0.003300,0.185,0.337,-0.683,-0.718,0.003300,0.268,-0.195,0.611,-0.713,0.003300,0.556,0.733,0.025,-0.708,0.003300,0.400,0.000,0.625,-0.713,0.003300,0.038,0.122,-0.302,-0.713,0.003300,0.551,0.665,0.127,-0.713,0.003300,0.439,0.689,-0.332,-0.713,0.003300,-0.084,-0.107,0.176,-0.713,0.003300,0.053,0.142,-0.454,-0.718,0.003300,0.234,-0.259,0.611,-0.713,0.003300,0.522,0.821,-0.273,-0.713,0.003300,0.258,0.450,-0.600,-0.708
0.006600,0.190,0.347,-0.683,-0.713,0.006600,0.248,-0.210,0.601,-0.713,0.006600,0.561,0.733,0.059,-0.713,0.006600,0.390,-0.014,0.616,-0.718,0.006600,0.048,0.132,-0.312,-0.713,0.006600,0.556,0.660,0.157,-0.713,0.006600,0.449,0.699,-0.307,-0.713,0.006600,-0.089,-0.107,0.166,-0.713,0.006600,0.058,0.147,-0.464,-0.718,0.006600,0.214,-0.263,0.606,-0.713,0.006600,0.537,0.831,-0.244,-0.713,0.006600,0.268,0.459,-0.596,-0.713
0.009900,0.195,0.357,-0.683,-0.713,0.009900,0.234,-0.224,0.586,-0.713,0.009900,0.566,0.728,0.088,-0.713,0.009900,0.375,-0.029,0.611,-0.713,0.009900,0.048,0.137,-0.317,-0.713,0.009900,0.556,0.650,0.181,-0.713,0.009900,0.458,0.704,-0.293,-0.708,0.009900,-0.084,-0.102,0.152,-0.718,0.009900,0.063,0.157,-0.473,-0.718,0.009900,0.200,-0.273,0.591,-0.708,0.009900,0.551,0.835,-0.210,-0.713,0.009900,0.273,0.469,-0.596,-0.708
0.013200,0.200,0.362,-0.688,-0.713,0.013200,0.214,-0.224,0.577,-0.708,0.013200,0.576,0.723,0.118,-0.713,0.013200,0.361,-0.044,0.601,-0.713,0.013200,0.058,0.142,-0.322,-0.708,0.013200,0.566,0.640,0.205,-0.708,0.013200,0.468,0.713,-0.273,-0.713,0.013200,-0.079,-0.092,0.147,-0.713,0.013200,0.068,0.157,-0.478,-0.713,0.013200,0.180,-0.283,0.582,-0.708,0.013200,0.556,0.840,-0.180,-0.713,0.013200,0.283,0.479,-0.591,-0.713
0.016500,0.204,0.372,-0.688,-0.713,0.016500,0.200,-0.234,0.572,-0.708,0.016500,0.581,0.713,0.142,-0.718,0.016500,0.346,-0.058,0.596,-0.708,0.016500,0.058,0.142,-0.332,-0.708,0.016500,0.561,0.630,0.230,-0.713,0.016500,0.478,0.718,-0.244,-0.713,0.016500,-0.084,-0.088,0.137,-0.713,0.016500,0.073,0.161,-0.483,-0.713,0.016500,0.165,-0.288,0.572,-0.713,0.016500,0.566,0.850,-0.146,-0.713,0.016500,0.288,0.489,-0.586,-0.708
0.019800,0.214,0.386,-0.688,-0.713,0.019800,0.185,-0.239,0.562,-0.708,0.019800,0.585,0.704,0.166,-0.713,0.019800,0.331,-0.073,0.586,-0.713,0.019800,0.063,0.152,-0.342,-0.713,0.019800,0.566,0.616,0.249,-0.713,0.019800,0.483,0.728,-0.224,-0.713,0.019800,-0.084,-0.083,0.122,-0.713,0.019800,0.073,0.166,-0.498,-0.713,0.019800,0.146,-0.293,0.562,-0.708,0.019800,0.581,0.850,-0.112,-0.718,0.019800,0.292,0.503,-0.586,-0.713
0.023100,0.219,0.391,-0.688,-0.713,0.023100,0.170,-0.249,0.547,-0.713,0.023100,0.590,0.694,0.196,-0.718,0.023100,0.312,-0.088,0.577,-0.713,0.023100,0.063,0.157,-0.351,-0.718,0.023100,0.566,0.606,0.279,-0.713,0.023100,0.493,0.733,-0.200,-0.713,0.023100,-0.084,-0.078,0.118,-0.713,0.023100,0.077,0.176,-0.508,-0.718,0.023100,0.121,-0.298,0.552,-0.708,0.023100,0.590,0.850,-0.078,-0.713,0.023100,0.302,0.518,-0.576,-0.713
0.026400,0.224,0.401,-0.688,-0.708,0.026400,0.156,-0.244,0.538,-0.718,0.026400,0.595,0.684,0.225,-0.713,0.026400,0.302,-0.097,0.572,-0.713,0.026400,0.073,0.157,-0.361,-0.713,0.026400,0.566,0.586,0.298,-0.708,0.026400,0.498,0.738,-0.175,-0.713,0.026400,-0.084,-0.073,0.103,-0.713,0.026400,0.082,0.181,-0.512,-0.718,0.026400,0.112,-0.302,0.538,-0.708,0.026400,0.600,0.850,-0.039,-0.713,0.026400,0.307,0.523,-0.566,-0.708
0.029700,0.234,0.411,-0.683,-0.708,0.029700,0.146,-0.254,0.528,-0.713,0.029700,0.600,0.669,0.249,-0.713,0.029700,0.283,-0.112,0.562,-0.708,0.029700,0.077,0.161,-0.366,-0.713,0.029700,0.571,0.572,0.318,-0.713,0.029700,0.507,0.738,-0.151,-0.708,0.029700,-0.079,-0.068,0.093,-0.713,0.029700,0.087,0.186,-0.522,-0.713,0.029700,0.097,-0.302,0.533,-0.708,0.029700,0.605,0.845,-0.005,-0.713,0.029700,0.322,0.547,-0.561,-0.713
0.033000,0.234,0.425,-0.683,-0.713,0.033000,0.126,-0.254,0.518,-0.718,0.033000,0.600,0.655,0.279,-0.713,0.033000,0.273,-0.117,0.547,-0.713,0.033000,0.077,0.171,-0.376,-0.713,0.033000,0.571,0.562,0.342,-0.713,0.033000,0.517,0.743,-0.127,-0.708,0.033000,-0.079,-0.063,0.083,-0.713,0.033000,0.092,0.191,-0.527,-0.713,0.033000,0.082,-0.302,0.518,-0.713,0.033000,0.620,0.845,0.030,-0.718,0.033000,0.327,0.552,-0.556,-0.713
