"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,2.777,8.159,-1.731,4.115,0.000000,-0.847,-4.535,-4.242,4.110,0.000000,0.930,-4.310,-2.142,4.115,0.000000,-2.200,3.734,0.911,4.110,0.000000,-2.781,2.918,2.698,4.115,0.000000,4.129,0.613,5.790,4.110,0.000000,4.452,2.899,4.901,4.115,0.000000,0.476,3.006,-5.341,4.110,0.000000,-0.134,-3.880,-3.944,4.115,0.000000,-0.989,-4.769,-4.247,4.110,0.000000,-1.341,-5.458,-3.915,4.115,0.000000,4.520,5.590,3.187,4.115
0.003300,2.972,8.398,-1.297,4.115,0.003300,-0.989,-4.764,-4.188,4.110,0.003300,0.745,-4.178,-2.508,4.115,0.003300,-1.985,3.832,0.281,4.110,0.003300,-2.567,3.328,2.020,4.115,0.003300,3.988,-0.051,5.702,4.110,0.003300,4.383,2.230,5.321,4.115,0.003300,0.574,3.148,-5.429,4.110,0.003300,-0.261,-3.929,-4.081,4.115,0.003300,-1.131,-5.028,-4.144,4.115,0.003300,-1.497,-5.770,-3.685,4.110,0.003300,4.545,4.921,3.621,4.115
0.006600,3.177,8.569,-0.847,4.115,0.006600,-1.126,-5.018,-4.090,4.110,0.006600,0.574,-4.066,-2.835,4.115,0.006600,-1.775,3.846,-0.300,4.115,0.006600,-2.352,3.612,1.336,4.115,0.006600,3.836,-0.716,5.458,4.110,0.006600,4.291,1.560,5.624,4.115,0.006600,0.672,3.324,-5.487,4.120,0.006600,-0.398,-4.012,-4.188,4.115,0.006600,-1.277,-5.311,-3.988,4.115,0.006600,-1.658,-6.098,-3.397,4.110,0.006600,4.545,4.252,4.056,4.115
0.009900,3.368,8.647,-0.413,4.115,0.009900,-1.272,-5.302,-3.939,4.115,0.009900,0.408,-3.968,-3.118,4.115,0.009900,-1.570,3.792,-0.847,4.115,0.009900,-2.132,3.773,0.686,4.120,0.009900,3.656,-1.380,5.082,4.115,0.009900,4.183,0.891,5.766,4.115,0.009900,0.769,3.519,-5.516,4.110,0.009900,-0.525,-4.129,-4.261,4.120,0.009900,-1.424,-5.619,-3.792,4.115,0.009900,-1.819,-6.435,-3.045,4.110,0.009900,4.525,3.582,4.491,4.115
0.013200,3.558,8.632,0.032,4.115,0.013200,-1.419,-5.604,-3.734,4.115,0.013200,0.256,-3.900,-3.372,4.110,0.013200,-1.380,3.690,-1.350,4.115,0.013200,-1.917,3.846,0.071,4.115,0.013200,3.460,-2.044,4.574,4.110,0.013200,4.046,0.222,5.751,4.115,0.013200,0.872,3.748,-5.512,4.115,0.013200,-0.662,-4.276,-4.310,4.115,0.013200,-1.580,-5.941,-3.529,4.115,0.013200,-1.990,-6.762,-2.635,4.115,0.013200,4.476,2.908,4.926,4.110
0.016500,3.739,8.520,0.471,4.115,0.016500,-1.575,-5.922,-3.475,4.115,0.016500,0.110,-3.861,-3.597,4.110,0.016500,-1.194,3.563,-1.805,4.115,0.016500,-1.707,3.832,-0.501,4.115,0.016500,3.250,-2.708,3.949,4.115,0.016500,3.895,-0.442,5.580,4.115,0.016500,0.979,4.002,-5.468,4.110,0.016500,-0.794,-4.457,-4.310,4.120,0.016500,-1.741,-6.274,-3.206,4.120,0.016500,-2.166,-7.065,-2.195,4.115,0.016500,4.408,2.239,5.346,4.110
0.019800,3.910,8.295,0.906,4.115,0.019800,-1.736,-6.254,-3.158,4.115,0.019800,-0.032,-3.856,-3.788,4.110,0.019800,-1.023,3.416,-2.215,4.115,0.019800,-1.507,3.758,-1.028,4.115,0.019800,3.031,-3.368,3.255,4.115,0.019800,3.734,-1.101,5.258,4.115,0.019800,1.092,4.286,-5.385,4.115,0.019800,-0.930,-4.672,-4.281,4.115,0.019800,-1.917,-6.611,-2.825,4.120,0.019800,-2.352,-7.333,-1.751,4.110,0.019800,4.320,1.575,5.653,4.115
0.023100,4.061,7.954,1.350,4.120,0.023100,-1.907,-6.586,-2.777,4.115,0.023100,-0.168,-3.880,-3.949,4.110,0.023100,-0.867,3.270,-2.601,4.115,0.023100,-1.316,3.646,-1.512,4.115,0.023100,2.786,-3.910,2.513,4.115,0.023100,3.543,-1.775,4.803,4.115,0.023100,1.219,4.603,-5.263,4.110,0.023100,-1.062,-4.911,-4.193,4.110,0.023100,-2.093,-6.928,-2.386,4.115,0.023100,-2.532,-7.558,-1.306,4.115,0.023100,4.208,0.901,5.795,4.115
0.026400,4.188,7.495,1.785,4.120,0.026400,-2.083,-6.899,-2.337,4.115,0.026400,-0.305,-3.939,-4.076,4.110,0.026400,-0.725,3.133,-2.938,4.115,0.026400,-1.140,3.509,-1.951,4.115,0.026400,2.542,-4.305,1.770,4.115,0.026400,3.338,-2.435,4.222,4.115,0.026400,1.341,4.945,-5.082,4.115,0.026400,-1.204,-5.179,-4.066,4.115,0.026400,-2.269,-7.211,-1.937,4.120,0.026400,-2.718,-7.724,-0.872,4.115,0.026400,4.076,0.237,5.785,4.115
0.029700,4.295,6.928,2.220,4.120,0.029700,-2.259,-7.177,-1.902,4.115,0.029700,-0.437,-4.022,-4.178,4.115,0.029700,-0.589,3.006,-3.250,4.115,0.029700,-0.969,3.368,-2.352,4.115,0.029700,2.283,-4.559,1.053,4.120,0.029700,3.123,-3.099,3.553,4.120,0.029700,1.477,5.316,-4.847,4.115,0.029700,-1.355,-5.482,-3.885,4.115,0.029700,-2.459,-7.455,-1.497,4.120,0.029700,-2.904,-7.817,-0.432,4.115,0.029700,3.924,-0.422,5.614,4.115
0.033000,4.383,6.264,2.659,4.115,0.033000,-2.444,-7.416,-1.458,4.115,0.033000,-0.569,-4.149,-4.242,4.115,0.033000,-0.462,2.894,-3.543,4.115,0.033000,-0.818,3.221,-2.718,4.115,0.033000,2.034,-4.686,0.379,4.115,0.033000,2.889,-3.709,2.825,4.115,0.033000,1.624,5.712,-4.554,4.115,0.033000,-1.512,-5.800,-3.651,4.110,0.033000,-2.640,-7.646,-1.053,4.115,0.033000,-3.079,-7.832,0.007,4.115,0.033000,3.753,-1.092,5.297,4.115
0.036300,4.432,5.590,3.099,4.120,0.036300,-2.630,-7.597,-1.013,4.115,0.036300,-0.696,-4.310,-4.276,4.115,0.036300,-0.339,2.806,-3.812,4.115,0.036300,-0.676,3.089,-3.050,4.115,0.036300,1.790,-4.716,-0.237,4.115,0.036300,2.640,-4.168,2.078,4.110,0.036300,1.775,6.117,-4.193,4.115,0.036300,-1.673,-6.127,-3.358,4.110,0.036300,-2.821,-7.773,-0.618,4.115,0.036300,-3.250,-7.753,0.447,4.115,0.036300,3.568,-1.751,4.833,4.115
0.039600,4.462,4.921,3.534,4.115,0.039600,-2.811,-7.719,-0.574,4.115,0.039600,-0.833,-4.501,-4.266,4.115,0.039600,-0.227,2.733,-4.061,4.120,0.039600,-0.540,2.967,-3.363,4.110,0.039600,1.556,-4.667,-0.803,4.115,0.039600,2.386,-4.476,1.350,4.115,0.039600,1.941,6.542,-3.773,4.115,0.039600,-1.834,-6.459,-3.006,4.110,0.039600,-3.001,-7.817,-0.173,4.120,0.039600,-3.411,-7.592,0.886,4.115,0.039600,3.368,-2.415,4.256,4.115
0.042900,4.466,4.247,3.968,4.120,0.042900,-2.987,-7.763,-0.129,4.115,0.042900,-0.965,-4.720,-4.217,4.115,0.042900,-0.120,2.694,-4.281,4.120,0.042900,-0.418,2.864,-3.641,4.110,0.042900,1.331,-4.569,-1.311,4.120,0.042900,2.142,-4.647,0.657,4.115,0.042900,2.112,6.957,-3.328,4.110,0.042900,-2.010,-6.786,-2.586,4.110,0.042900,-3.177,-7.783,0.266,4.115,0.042900,-3.558,-7.328,1.331,4.115,0.042900,3.148,-3.084,3.587,4.115
0.046200,4.447,3.573,4.403,4.115,0.046200,-3.162,-7.719,0.310,4.120,0.046200,-1.106,-4.969,-4.125,4.115,0.046200,-0.022,2.669,-4.491,4.120,0.046200,-0.300,2.781,-3.905,4.110,0.046200,1.126,-4.447,-1.775,4.115,0.046200,1.888,-4.711,0.012,4.115,0.046200,2.298,7.358,-2.889,4.115,0.046200,-2.186,-7.089,-2.151,4.115,0.046200,-3.338,-7.661,0.706,4.115,0.046200,-3.690,-6.967,1.766,4.115,0.046200,2.908,-3.700,2.860,4.115
0.049500,4.398,2.908,4.842,4.120,0.049500,-3.324,-7.587,0.750,4.115,0.049500,-1.253,-5.248,-3.978,4.115,0.049500,0.071,2.674,-4.691,4.115,0.049500,-0.193,2.728,-4.149,4.110,0.049500,0.926,-4.315,-2.181,4.115,0.049500,1.658,-4.696,-0.574,4.115,0.049500,2.488,7.744,-2.444,4.110,0.049500,-2.366,-7.353,-1.707,4.110,0.049500,-3.495,-7.441,1.145,4.115,0.049500,-3.797,-6.493,2.205,4.115,0.049500,2.659,-4.168,2.107,4.115
