"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,-0.333,-0.386,-1.865,0.596,0.000000,-1.295,-2.266,-0.273,0.596,0.000000,-0.860,-2.114,-1.870,0.601,0.000000,-1.446,-2.061,0.518,0.596,0.000000,-0.509,0.806,-0.175,0.596,0.000000,-0.220,0.967,0.245,0.601,0.000000,0.615,3.522,1.295,0.596,0.000000,-0.777,-1.196,-1.172,0.596,0.000000,-1.246,-2.476,-0.498,0.596,0.000000,-1.070,-0.083,0.665,0.596,0.000000,0.395,1.119,-0.947,0.601,0.000000,-0.929,-2.837,-3.545,0.596
0.003300,-0.338,-0.420,-1.924,0.596,0.003300,-1.324,-2.266,-0.136,0.596,0.003300,-0.909,-2.222,-1.802,0.596,0.003300,-1.476,-1.987,0.650,0.601,0.003300,-0.465,0.801,-0.268,0.596,0.003300,-0.176,0.967,0.161,0.596,0.003300,0.717,3.448,1.422,0.596,0.003300,-0.797,-1.255,-1.172,0.596,0.003300,-1.295,-2.500,-0.346,0.596,0.003300,-1.031,-0.029,0.591,0.596,0.003300,0.424,1.143,-0.976,0.601,0.003300,-1.002,-3.047,-3.409,0.596
0.006600,-0.343,-0.473,-1.987,0.596,0.006600,-1.358,-2.261,0.010,0.596,0.006600,-0.953,-2.324,-1.719,0.596,0.006600,-1.485,-1.904,0.772,0.596,0.006600,-0.421,0.796,-0.356,0.601,0.006600,-0.137,0.977,0.083,0.596,0.006600,0.815,3.361,1.563,0.596,0.006600,-0.816,-1.313,-1.167,0.596,0.006600,-1.339,-2.515,-0.185,0.596,0.006600,-0.997,0.025,0.523,0.601,0.006600,0.449,1.172,-1.001,0.596,0.006600,-1.085,-3.262,-3.248,0.596
0.009900,-0.347,-0.512,-2.046,0.591,0.009900,-1.393,-2.241,0.147,0.601,0.009900,-1.007,-2.432,-1.616,0.596,0.009900,-1.500,-1.802,0.889,0.601,0.009900,-0.377,0.792,-0.454,0.596,0.009900,-0.093,0.987,0.010,0.596,0.009900,0.903,3.253,1.715,0.596,0.009900,-0.831,-1.372,-1.157,0.591,0.009900,-1.383,-2.510,-0.029,0.596,0.009900,-0.958,0.069,0.445,0.601,0.009900,0.478,1.207,-1.020,0.601,0.009900,-1.168,-3.482,-3.057,0.596
0.013200,-0.347,-0.561,-2.110,0.596,0.013200,-1.422,-2.207,0.293,0.601,0.013200,-1.060,-2.525,-1.504,0.596,0.013200,-1.510,-1.690,0.997,0.596,0.013200,-0.338,0.782,-0.542,0.601,0.013200,-0.054,0.987,-0.058,0.596,0.013200,0.986,3.126,1.876,0.591,0.013200,-0.850,-1.431,-1.147,0.596,0.013200,-1.422,-2.486,0.142,0.601,0.013200,-0.924,0.108,0.367,0.596,0.013200,0.502,1.241,-1.040,0.596,0.013200,-1.256,-3.702,-2.828,0.596
0.016500,-0.362,-0.610,-2.163,0.596,0.016500,-1.451,-2.158,0.440,0.601,0.016500,-1.114,-2.627,-1.377,0.596,0.016500,-1.515,-1.567,1.094,0.596,0.016500,-0.299,0.772,-0.625,0.601,0.016500,-0.015,0.992,-0.127,0.596,0.016500,1.059,2.980,2.042,0.591,0.016500,-0.875,-1.489,-1.128,0.591,0.016500,-1.456,-2.447,0.313,0.596,0.016500,-0.885,0.137,0.284,0.596,0.016500,0.527,1.275,-1.050,0.596,0.016500,-1.344,-3.926,-2.569,0.601
0.019800,-0.372,-0.664,-2.212,0.596,0.019800,-1.471,-2.095,0.577,0.596,0.019800,-1.168,-2.720,-1.235,0.596,0.019800,-1.515,-1.431,1.182,0.596,0.019800,-0.255,0.767,-0.708,0.596,0.019800,0.019,0.997,-0.195,0.596,0.019800,1.123,2.809,2.213,0.596,0.019800,-0.894,-1.553,-1.103,0.596,0.019800,-1.490,-2.393,0.484,0.596,0.019800,-0.846,0.161,0.201,0.596,0.019800,0.561,1.319,-1.060,0.601,0.019800,-1.446,-4.136,-2.276,0.596
0.023100,-0.386,-0.723,-2.266,0.596,0.023100,-1.495,-2.007,0.718,0.596,0.023100,-1.227,-2.803,-1.069,0.596,0.023100,-1.505,-1.294,1.251,0.596,0.023100,-0.225,0.762,-0.796,0.596,0.023100,0.053,0.997,-0.254,0.591,0.023100,1.181,2.613,2.379,0.596,0.023100,-0.924,-1.611,-1.069,0.596,0.023100,-1.529,-2.315,0.655,0.596,0.023100,-0.807,0.181,0.118,0.596,0.023100,0.585,1.363,-1.064,0.596,0.023100,-1.549,-4.337,-1.944,0.601
0.026400,-0.401,-0.776,-2.315,0.596,0.026400,-1.510,-1.914,0.845,0.596,0.026400,-1.280,-2.881,-0.893,0.596,0.026400,-1.500,-1.147,1.304,0.591,0.026400,-0.186,0.752,-0.869,0.601,0.026400,0.087,1.002,-0.317,0.596,0.026400,1.230,2.403,2.540,0.596,0.026400,-0.948,-1.670,-1.030,0.596,0.026400,-1.549,-2.222,0.821,0.596,0.026400,-0.772,0.201,0.035,0.596,0.026400,0.615,1.407,-1.064,0.596,0.026400,-1.651,-4.512,-1.577,0.601
0.029700,-0.416,-0.840,-2.359,0.596,0.029700,-1.524,-1.802,0.972,0.596,0.029700,-1.339,-2.940,-0.703,0.596,0.029700,-1.481,-0.996,1.343,0.591,0.029700,-0.152,0.743,-0.947,0.596,0.029700,0.121,1.006,-0.376,0.596,0.029700,1.269,2.174,2.687,0.596,0.029700,-0.977,-1.729,-0.986,0.596,0.029700,-1.578,-2.114,0.972,0.596,0.029700,-0.733,0.205,-0.053,0.596,0.029700,0.644,1.446,-1.055,0.601,0.029700,-1.754,-4.654,-1.172,0.596
