"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,0.165,-1.182,-1.523,2.042,0.000000,0.634,-1.353,-0.307,2.042,0.000000,-1.500,-4.410,-2.554,2.032,0.000000,-0.631,3.409,0.010,2.042,0.000000,0.371,2.950,-1.274,2.022,0.000000,-0.846,3.463,0.328,2.027,0.000000,-1.627,2.882,1.915,2.027,0.000000,0.688,-1.416,-0.005,2.027,0.000000,-1.134,-3.453,-3.355,2.027,0.000000,1.675,3.238,1.148,2.027,0.000000,-0.157,-1.255,-2.349,2.022,0.000000,-2.745,-3.472,3.248,2.027
0.003300,0.126,-1.162,-1.665,2.042,0.003300,0.561,-1.343,-0.488,2.042,0.003300,-1.603,-4.644,-2.261,2.037,0.003300,-0.489,3.414,-0.195,2.037,0.003300,0.463,2.984,-1.294,2.027,0.003300,-0.689,3.473,0.078,2.027,0.003300,-1.456,3.072,1.529,2.022,0.003300,0.620,-1.421,-0.190,2.027,0.003300,-1.222,-3.682,-3.208,2.027,0.003300,1.723,3.067,1.382,2.027,0.003300,-0.196,-1.274,-2.471,2.022,0.003300,-2.770,-2.901,3.624,2.027
0.006600,0.077,-1.147,-1.802,2.037,0.006600,0.493,-1.318,-0.659,2.037,0.006600,-1.725,-4.869,-1.924,2.037,0.006600,-0.347,3.404,-0.371,2.037,0.006600,0.556,3.028,-1.299,2.027,0.006600,-0.538,3.483,-0.136,2.027,0.006600,-1.290,3.209,1.168,2.027,0.006600,0.546,-1.401,-0.376,2.032,0.006600,-1.319,-3.926,-3.023,2.027,0.006600,1.767,2.867,1.607,2.027,0.006600,-0.235,-1.304,-2.583,2.027,0.006600,-2.755,-2.276,3.917,2.027
0.009900,0.034,-1.138,-1.944,2.042,0.009900,0.424,-1.289,-0.825,2.037,0.009900,-1.842,-5.060,-1.538,2.037,0.009900,-0.211,3.404,-0.512,2.042,0.009900,0.644,3.077,-1.270,2.032,0.009900,-0.396,3.478,-0.322,2.032,0.009900,-1.124,3.302,0.835,2.022,0.009900,0.473,-1.387,-0.552,2.032,0.009900,-1.417,-4.171,-2.803,2.027,0.009900,1.802,2.638,1.817,2.027,0.009900,-0.274,-1.353,-2.696,2.022,0.009900,-2.731,-1.631,4.113,2.027
0.013200,-0.006,-1.138,-2.075,2.042,0.013200,0.371,-1.265,-0.986,2.042,0.013200,-1.964,-5.216,-1.113,2.037,0.013200,-0.084,3.395,-0.630,2.042,0.013200,0.737,3.126,-1.230,2.032,0.013200,-0.260,3.468,-0.473,2.027,0.013200,-0.963,3.361,0.528,2.027,0.013200,0.405,-1.372,-0.718,2.027,0.013200,-1.520,-4.415,-2.544,2.032,0.013200,1.826,2.384,2.008,2.027,0.013200,-0.308,-1.401,-2.808,2.022,0.013200,-2.677,-0.976,4.191,2.022
0.016500,-0.045,-1.138,-2.207,2.037,0.016500,0.307,-1.240,-1.143,2.037,0.016500,-2.081,-5.323,-0.654,2.037,0.016500,0.043,3.404,-0.723,2.037,0.016500,0.815,3.190,-1.172,2.032,0.016500,-0.123,3.463,-0.600,2.027,0.016500,-0.807,3.395,0.254,2.027,0.016500,0.346,-1.343,-0.879,2.027,0.016500,-1.627,-4.644,-2.241,2.022,0.016500,1.841,2.105,2.169,2.027,0.016500,-0.352,-1.460,-2.906,2.017,0.016500,-2.604,-0.337,4.171,2.022
0.019800,-0.084,-1.143,-2.339,2.037,0.019800,0.253,-1.211,-1.299,2.037,0.019800,-2.198,-5.367,-0.156,2.037,0.019800,0.165,3.409,-0.791,2.037,0.019800,0.908,3.253,-1.089,2.032,0.019800,0.004,3.463,-0.698,2.027,0.019800,-0.655,3.404,0.015,2.027,0.019800,0.283,-1.323,-1.035,2.027,0.019800,-1.744,-4.859,-1.895,2.032,0.019800,1.841,1.812,2.306,2.027,0.019800,-0.391,-1.528,-3.008,2.022,0.019800,-2.506,0.279,4.039,2.027
0.023100,-0.118,-1.157,-2.461,2.042,0.023100,0.204,-1.191,-1.450,2.037,0.023100,-2.311,-5.333,0.362,2.037,0.023100,0.283,3.419,-0.830,2.037,0.023100,0.991,3.317,-0.986,2.027,0.023100,0.131,3.473,-0.771,2.022,0.023100,-0.504,3.409,-0.200,2.032,0.023100,0.224,-1.304,-1.191,2.027,0.023100,-1.857,-5.050,-1.519,2.027,0.023100,1.836,1.509,2.393,2.027,0.023100,-0.430,-1.602,-3.096,2.022,0.023100,-2.399,0.845,3.810,2.022
0.026400,-0.157,-1.186,-2.588,2.037,0.026400,0.156,-1.172,-1.592,2.037,0.026400,-2.423,-5.216,0.889,2.037,0.026400,0.400,3.439,-0.849,2.032,0.026400,1.074,3.370,-0.859,2.027,0.026400,0.253,3.478,-0.815,2.022,0.026400,-0.367,3.404,-0.376,2.027,0.026400,0.175,-1.279,-1.343,2.027,0.026400,-1.979,-5.206,-1.094,2.027,0.026400,1.821,1.192,2.447,2.027,0.026400,-0.479,-1.690,-3.174,2.027,0.026400,-2.267,1.368,3.517,2.032
0.029700,-0.191,-1.216,-2.705,2.032,0.029700,0.107,-1.152,-1.738,2.037,0.029700,-2.516,-5.006,1.426,2.037,0.029700,0.507,3.463,-0.835,2.037,0.029700,1.157,3.419,-0.718,2.027,0.029700,0.366,3.497,-0.835,2.022,0.029700,-0.225,3.395,-0.527,2.032,0.029700,0.121,-1.260,-1.484,2.022,0.029700,-2.096,-5.304,-0.635,2.027,0.029700,1.787,0.879,2.462,2.022,0.029700,-0.523,-1.787,-3.243,2.022,0.029700,-2.130,1.827,3.160,2.032
