"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,1.560,4.686,-2.381,3.031,0.000000,2.225,6.625,-2.093,3.031,0.000000,-1.863,1.438,2.205,3.035,0.000000,1.160,3.895,-4.828,3.031,0.000000,0.554,2.415,-3.641,3.035,0.000000,0.462,1.956,-4.818,3.035,0.000000,2.601,-2.923,3.568,3.035,0.000000,1.888,5.951,-3.241,3.035,0.000000,-1.990,1.043,2.269,3.035,0.000000,0.339,-3.226,-1.189,3.035,0.000000,-1.468,1.917,0.716,3.035,0.000000,-1.189,-4.882,-1.253,3.035
0.003300,1.678,4.921,-2.068,3.026,0.003300,2.386,6.874,-1.604,3.031,0.003300,-1.736,1.687,1.844,3.035,0.003300,1.267,4.208,-4.667,3.031,0.003300,0.623,2.547,-3.690,3.035,0.003300,0.515,2.088,-4.906,3.031,0.003300,2.391,-3.455,2.987,3.035,0.003300,2.034,6.303,-2.762,3.031,0.003300,-1.878,1.326,1.937,3.031,0.003300,0.212,-3.197,-1.394,3.035,0.003300,-1.341,1.980,0.359,3.035,0.003300,-1.316,-4.969,-1.057,3.035
0.006600,1.800,5.121,-1.712,3.031,0.006600,2.552,7.065,-1.111,3.031,0.006600,-1.609,1.888,1.477,3.031,0.006600,1.375,4.535,-4.447,3.031,0.006600,0.691,2.689,-3.729,3.035,0.006600,0.579,2.230,-4.989,3.040,0.006600,2.171,-3.871,2.396,3.035,0.006600,2.195,6.625,-2.274,3.035,0.006600,-1.756,1.546,1.585,3.035,0.006600,0.090,-3.177,-1.575,3.035,0.006600,-1.223,2.010,0.032,3.035,0.006600,-1.448,-5.038,-0.818,3.040
0.009900,1.922,5.297,-1.316,3.031,0.009900,2.718,7.187,-0.623,3.031,0.009900,-1.482,2.034,1.116,3.035,0.009900,1.497,4.886,-4.183,3.035,0.009900,0.769,2.855,-3.744,3.040,0.009900,0.642,2.391,-5.048,3.031,0.009900,1.946,-4.183,1.824,3.035,0.009900,2.361,6.894,-1.780,3.035,0.009900,-1.634,1.726,1.228,3.035,0.009900,-0.032,-3.172,-1.731,3.035,0.009900,-1.106,2.010,-0.295,3.040,0.009900,-1.580,-5.096,-0.549,3.035
0.013200,2.044,5.419,-0.872,3.031,0.013200,2.879,7.211,-0.134,3.031,0.013200,-1.350,2.137,0.755,3.035,0.013200,1.624,5.243,-3.871,3.031,0.013200,0.847,3.035,-3.734,3.031,0.013200,0.706,2.571,-5.087,3.031,0.013200,1.726,-4.393,1.287,3.035,0.013200,2.527,7.114,-1.292,3.035,0.013200,-1.507,1.849,0.872,3.035,0.013200,-0.144,-3.177,-1.863,3.035,0.013200,-0.994,1.990,-0.598,3.035,0.013200,-1.707,-5.126,-0.247,3.035
0.016500,2.166,5.487,-0.388,3.031,0.016500,3.031,7.143,0.354,3.031,0.016500,-1.223,2.200,0.408,3.035,0.016500,1.761,5.609,-3.495,3.035,0.016500,0.926,3.226,-3.695,3.035,0.016500,0.774,2.772,-5.106,3.035,0.016500,1.502,-4.520,0.789,3.035,0.016500,2.698,7.260,-0.803,3.035,0.016500,-1.385,1.932,0.520,3.035,0.016500,-0.252,-3.197,-1.980,3.040,0.016500,-0.886,1.946,-0.891,3.035,0.016500,-1.824,-5.116,0.085,3.035
0.019800,2.288,5.477,0.095,3.035,0.019800,3.182,6.977,0.838,3.031,0.019800,-1.096,2.230,0.076,3.035,0.019800,1.902,5.961,-3.060,3.035,0.019800,1.013,3.441,-3.626,3.040,0.019800,0.852,2.991,-5.101,3.035,0.019800,1.282,-4.589,0.344,3.040,0.019800,2.864,7.324,-0.310,3.035,0.019800,-1.263,1.976,0.178,3.031,0.019800,-0.359,-3.231,-2.068,3.031,0.019800,-0.784,1.897,-1.170,3.035,0.019800,-1.946,-5.067,0.452,3.035
0.023100,2.405,5.389,0.589,3.031,0.023100,3.309,6.698,1.326,3.031,0.023100,-0.979,2.230,-0.242,3.035,0.023100,2.059,6.293,-2.576,3.035,0.023100,1.106,3.670,-3.524,3.031,0.023100,0.930,3.231,-5.057,3.031,0.023100,1.072,-4.613,-0.061,3.035,0.023100,3.021,7.294,0.173,3.035,0.023100,-1.145,1.985,-0.144,3.035,0.023100,-0.462,-3.280,-2.142,3.031,0.023100,-0.691,1.844,-1.429,3.035,0.023100,-2.059,-4.955,0.833,3.035
0.026400,2.508,5.219,1.072,3.035,0.026400,3.421,6.308,1.810,3.035,0.026400,-0.857,2.220,-0.540,3.035,0.026400,2.215,6.596,-2.083,3.035,0.026400,1.204,3.910,-3.387,3.035,0.026400,1.018,3.490,-4.989,3.031,0.026400,0.862,-4.598,-0.408,3.035,0.026400,3.172,7.162,0.662,3.031,0.026400,-1.033,1.971,-0.457,3.035,0.026400,-0.564,-3.343,-2.190,3.035,0.026400,-0.598,1.780,-1.683,3.035,0.026400,-2.161,-4.794,1.223,3.035
0.029700,2.606,4.955,1.560,3.035,0.029700,3.519,5.810,2.298,3.031,0.029700,-0.750,2.181,-0.818,3.035,0.029700,2.376,6.840,-1.595,3.031,0.029700,1.302,4.164,-3.211,3.035,0.029700,1.116,3.778,-4.882,3.031,0.029700,0.667,-4.569,-0.711,3.031,0.029700,3.314,6.928,1.150,3.031,0.029700,-0.926,1.941,-0.755,3.035,0.029700,-0.662,-3.421,-2.215,3.031,0.029700,-0.515,1.722,-1.917,3.035,0.029700,-2.254,-4.564,1.624,3.035
