"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,0.844,-0.708,1.358,-0.015,0.000000,-0.631,-0.190,0.704,-0.020,0.000000,-0.797,-0.561,0.088,-0.015,0.000000,0.331,-1.919,1.212,-0.010,0.000000,-0.030,-0.576,0.142,-0.015,0.000000,2.222,2.296,3.248,-0.010,0.000000,-0.689,-1.484,-1.499,-0.020,0.000000,-0.045,-0.171,-1.182,-0.015,0.000000,-0.997,0.039,0.997,-0.015,0.000000,1.240,1.104,1.192,-0.015,0.000000,-0.645,-0.517,-0.356,-0.020,0.000000,-0.538,-0.898,-0.215,-0.015
0.003300,0.791,-0.786,1.285,-0.015,0.003300,-0.616,-0.151,0.665,-0.015,0.003300,-0.797,-0.547,0.074,-0.015,0.003300,0.248,-1.939,1.153,-0.015,0.003300,-0.054,-0.566,0.103,-0.010,0.003300,2.217,1.812,3.527,-0.015,0.003300,-0.723,-1.553,-1.465,-0.020,0.003300,-0.049,-0.171,-1.226,-0.015,0.003300,-0.958,0.113,0.943,-0.010,0.003300,1.235,0.992,1.256,-0.015,0.003300,-0.636,-0.522,-0.381,-0.020,0.003300,-0.548,-0.903,-0.219,-0.020
0.006600,0.732,-0.859,1.212,-0.015,0.006600,-0.597,-0.112,0.630,-0.015,0.006600,-0.782,-0.532,0.059,-0.015,0.006600,0.165,-1.953,1.104,-0.015,0.006600,-0.074,-0.561,0.059,-0.015,0.006600,2.192,1.295,3.741,-0.015,0.006600,-0.753,-1.621,-1.416,-0.020,0.006600,-0.054,-0.175,-1.265,-0.015,0.006600,-0.924,0.186,0.894,-0.015,0.006600,1.220,0.870,1.309,-0.015,0.006600,-0.636,-0.532,-0.395,-0.015,0.006600,-0.562,-0.898,-0.229,-0.015
0.009900,0.673,-0.913,1.138,-0.010,0.009900,-0.577,-0.073,0.586,-0.015,0.009900,-0.777,-0.522,0.044,-0.010,0.009900,0.092,-1.958,1.065,-0.015,0.009900,-0.089,-0.556,0.025,-0.015,0.009900,2.148,0.777,3.883,-0.015,0.009900,-0.787,-1.690,-1.367,-0.015,0.009900,-0.064,-0.171,-1.309,-0.015,0.009900,-0.875,0.249,0.831,-0.010,0.009900,1.211,0.748,1.353,-0.020,0.009900,-0.631,-0.542,-0.420,-0.015,0.009900,-0.577,-0.903,-0.234,-0.015
0.013200,0.615,-0.967,1.065,-0.015,0.013200,-0.557,-0.049,0.542,-0.015,0.013200,-0.767,-0.508,0.025,-0.015,0.013200,0.019,-1.963,1.036,-0.015,0.013200,-0.103,-0.552,-0.014,-0.010,0.013200,2.090,0.259,3.947,-0.010,0.013200,-0.821,-1.758,-1.309,-0.020,0.013200,-0.059,-0.180,-1.348,-0.015,0.013200,-0.841,0.303,0.772,-0.010,0.013200,1.191,0.625,1.387,-0.015,0.013200,-0.626,-0.552,-0.439,-0.015,0.013200,-0.587,-0.903,-0.239,-0.010
0.016500,0.556,-1.011,0.997,-0.015,0.016500,-0.538,-0.019,0.503,-0.010,0.016500,-0.758,-0.498,0.010,-0.015,0.016500,-0.045,-1.953,1.011,-0.020,0.016500,-0.123,-0.547,-0.049,-0.015,0.016500,2.016,-0.244,3.937,-0.010,0.016500,-0.855,-1.821,-1.240,-0.015,0.016500,-0.064,-0.180,-1.392,-0.015,0.016500,-0.797,0.357,0.709,-0.015,0.016500,1.167,0.503,1.402,-0.020,0.016500,-0.626,-0.566,-0.459,-0.010,0.016500,-0.597,-0.908,-0.249,-0.015
0.019800,0.502,-1.050,0.928,-0.015,0.019800,-0.518,0.005,0.455,-0.015,0.019800,-0.743,-0.483,-0.009,-0.010,0.019800,-0.118,-1.939,0.997,-0.015,0.019800,-0.137,-0.542,-0.083,-0.020,0.019800,1.924,-0.727,3.859,-0.015,0.019800,-0.894,-1.885,-1.167,-0.015,0.019800,-0.069,-0.185,-1.431,-0.015,0.019800,-0.758,0.401,0.645,-0.010,0.019800,1.142,0.381,1.412,-0.015,0.019800,-0.626,-0.581,-0.483,-0.015,0.019800,-0.611,-0.908,-0.249,-0.010
0.023100,0.439,-1.084,0.855,-0.015,0.023100,-0.504,0.030,0.415,-0.015,0.023100,-0.738,-0.478,-0.029,-0.015,0.023100,-0.181,-1.924,0.987,-0.015,0.023100,-0.147,-0.537,-0.122,-0.010,0.023100,1.821,-1.167,3.727,-0.015,0.023100,-0.924,-1.948,-1.079,-0.015,0.023100,-0.069,-0.190,-1.470,-0.020,0.023100,-0.714,0.445,0.582,-0.010,0.023100,1.113,0.259,1.407,-0.015,0.023100,-0.626,-0.591,-0.503,-0.010,0.023100,-0.621,-0.908,-0.254,-0.010
0.026400,0.390,-1.103,0.796,-0.020,0.026400,-0.484,0.049,0.372,-0.015,0.026400,-0.728,-0.469,-0.049,-0.015,0.026400,-0.245,-1.904,0.987,-0.015,0.026400,-0.162,-0.537,-0.156,-0.020,0.026400,1.704,-1.582,3.556,-0.015,0.026400,-0.963,-2.007,-0.981,-0.015,0.026400,-0.079,-0.190,-1.514,-0.020,0.026400,-0.670,0.484,0.513,-0.010,0.026400,1.079,0.147,1.397,-0.015,0.026400,-0.626,-0.605,-0.512,-0.015,0.026400,-0.636,-0.913,-0.259,-0.015
0.029700,0.336,-1.118,0.733,-0.020,0.029700,-0.465,0.074,0.323,-0.010,0.029700,-0.719,-0.459,-0.063,-0.015,0.029700,-0.303,-1.875,0.997,-0.020,0.029700,-0.172,-0.527,-0.195,-0.020,0.029700,1.577,-1.948,3.361,-0.015,0.029700,-1.007,-2.061,-0.879,-0.015,0.029700,-0.084,-0.200,-1.563,-0.015,0.029700,-0.631,0.508,0.450,-0.015,0.029700,1.045,0.035,1.373,-0.015,0.029700,-0.626,-0.620,-0.537,-0.015,0.029700,-0.645,-0.913,-0.254,-0.015
